metric,AUROC,F1_median
cos,0.5384202436880048,0.47187373532982596
mah,0.6916307396270147,0.6159449615540267
pca,0.6909809354548829,0.613516794819911
ll,0.6535514143250931,0.6013759611493322
comp,0.6179240129526107,0.5681910157830837
