Position,Cosine drift,Mahalanobis,Logit lens,PCA dev.,CIE
t-3,0.25520309079744713,508.8123278083288,80.40616035539367,42292.86195289144,932.8467787790644
t-2,0.24995085929056854,508.8196804690967,80.44156143953971,42352.43994140625,933.3230524568137
t-1,0.2533222048909519,507.4627964835174,79.37504803340413,42137.23092856642,920.9460823881693
t (onset),0.26259693739064294,506.2119142107543,78.01092050461324,42651.195933617106,905.068985320966
t+1,0.25690354100986756,507.5738702155371,79.55818277138135,42876.05587061496,923.0193904470265
