Target,Attention entropy baseline,Original composite AUROC,Improved composite AUROC,Upper bound AUROC,Absolute gap remaining,Gap closed vs baseline,>=50% closed?
ReDeEP,0.6661230658172689,0.7001276727915667,0.7140035087137252,0.82,0.10599649128627475,0.3111606242401321,No
LUMINA,0.6661230658172689,0.7001276727915667,0.7140035087137252,0.87,0.1559964912862748,0.23484972975678536,No
